date,pointIndex,timePoint,declarationPower,declarationPowerUpper,declarationPowerLower,declarationStartStopState,declarationPercent,defaultDeclarationPower,defaultDeclarationPowerUpper,defaultDeclarationPowerLower,defaultDeclarationStartStopState,defaultDeclarationPercent,dayAheadUserMediumLongPower,dayAheadUserStandardPower,dayAheadUserSumPower,dayAheadUserClearingPower,dayAheadUserPrice,dayAheadUserPriceFinal,dayAheadUserSouthPrice,dayAheadUserNorthPrice,dayAheadPublicClearingPower,dayAheadPublicPrice,dayAheadPublicSouthPrice,dayAheadPublicNorthPrice,dayAheadPublicSouthNodePrice,dayAheadPublicNorthNodePrice,realTimeSouthPrice,realTimeNorthPrice,realTimeSouthNodePrice,realTimeNorthNodePrice,realTimeSouthReleaseType,realTimeNorthReleaseType,realTimeClearingPower,realTimeAvgPrice,realTimePointPrice,realTimeAvgPriceCurrent,realTimePointPriceCurrent,realTimeAvgPriceFinal,realTimePointPriceFinal,actualKwh,settleAmount,sourceTargets,sourceFiles
2026-05-12,1,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,2,00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.3,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,3,00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,4,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,5,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,6,01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,7,01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,8,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,9,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,10,02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.8,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
