"source_file","export_month","metric","hour_index","hour_window","value","contains_credentials"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","1","00:00-01:00","32.407","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","2","01:00-02:00","29.782","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","3","02:00-03:00","26.995","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","4","03:00-04:00","27.389","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","5","04:00-05:00","30.472","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","6","05:00-06:00","39.262","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","7","06:00-07:00","62.08","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","8","07:00-08:00","72.716","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","9","08:00-09:00","76.06","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","10","09:00-10:00","74.054","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","11","10:00-11:00","71.342","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","12","11:00-12:00","70.177","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","13","12:00-13:00","69.327","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","14","13:00-14:00","70.39","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","15","14:00-15:00","70.075","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","16","15:00-16:00","71.938","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","17","16:00-17:00","57.433","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","18","17:00-18:00","59.467","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","19","18:00-19:00","60.253","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","20","19:00-20:00","68.945","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","21","20:00-21:00","66.944","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","22","21:00-22:00","63.861","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","23","22:00-23:00","57.794","False"
"1、交易计算表1月.xls","2026-01","日 本时段持仓量（兆瓦时）","24","23:00-24:00","46.51","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","1","00:00-01:00","2.55","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","2","01:00-02:00","2.17","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","3","02:00-03:00","1.36","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","4","03:00-04:00","1.59","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","5","04:00-05:00","2.15","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","6","05:00-06:00","5.17","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","7","06:00-07:00","3.08","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","8","07:00-08:00","3.94","False"
"1、交易计算表1月.xls","2026-01","操作量1（兆瓦时） +买入；-卖出","9","08:00-09:00","5.75","False"
