"source_file","export_month","trade_date","hour_index","hour_window","raw_value","raw_unit_label","contains_credentials"
"1、交易计算表1月.xls","2026-01","2026-01-31","1","00:00-01:00","47036","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","2","01:00-02:00","34461","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","3","02:00-03:00","28925","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","4","03:00-04:00","29964","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","5","04:00-05:00","36172","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","6","05:00-06:00","53876","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","7","06:00-07:00","63156","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","8","07:00-08:00","95302","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","9","08:00-09:00","69908","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","10","09:00-10:00","88971","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","11","10:00-11:00","83975","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","12","11:00-12:00","83263","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","13","12:00-13:00","83841","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","14","13:00-14:00","91999","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","15","14:00-15:00","78798","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","16","15:00-16:00","88181","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","17","16:00-17:00","88047","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","18","17:00-18:00","90317","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","19","18:00-19:00","88355","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","20","19:00-20:00","81510","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","21","20:00-21:00","89756","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","22","21:00-22:00","77594","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","23","22:00-23:00","82090","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-31","24","23:00-24:00","62040","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","1","00:00-01:00","33253","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","2","01:00-02:00","35110","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","3","02:00-03:00","25414","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","4","03:00-04:00","40406","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","5","04:00-05:00","29726","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","6","05:00-06:00","57375","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","7","06:00-07:00","78000","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","8","07:00-08:00","87615","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","9","08:00-09:00","94963","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","10","09:00-10:00","87548","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","11","10:00-11:00","85432","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","12","11:00-12:00","92150","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","13","12:00-13:00","83547","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","14","13:00-14:00","89614","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","15","14:00-15:00","72600","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","16","15:00-16:00","92567","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","17","16:00-17:00","88882","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","18","17:00-18:00","92091","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","19","18:00-19:00","97280","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","20","19:00-20:00","93015","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","21","20:00-21:00","79192","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","22","21:00-22:00","84008","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表1月.xls","2026-01","2026-01-30","23","22:00-23:00","71850","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
